author,report_url,release_date
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19,2020-11-8
National Transparency Agency,https://aead.gr/press/press-releases/apotimisi-eleghon-covid-20021109,2020-11-10
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-trith-10-11-2020,2020-11-11
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-tetarti-11-11-2020,2020-11-12
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-pempth-12-11-2020,2020-11-13
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-paraskeuh-13-11-2020,2020-11-14
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-to-savvato-14-11-2020,2020-11-16
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-th-deutera-16-11-2020,2020-11-18
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-trith-17-11-2020,2020-11-18
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-tetarti-18-11-2020,2020-11-19
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-pempth-19-11-2020,2020-11-20
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-paraskeuh-20-11-2020,2020-11-21
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-to-diasthma-20-22-11-2020,2020-11-23
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-th-deutera-23-11-2020,2020-11-24
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-trith-24-11-2020,2020-11-25
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-tetarti-25-11-2020,2020-11-27
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-pempti-26-11-2020,2020-11-27
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-paraskeuh-27-11-2020,2020-11-28
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-to-savvato-28-11-2020,2020-11-29
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-to-diastima-27-29-11-2020,2020-11-30
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-triti-01-12-2020,2020-12-02
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-tetarti-02-12-2020,2020-12-03
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-pempti-03-12-2020,2020-12-04
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-paraskeuh-4-12-2020,2020-12-05
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-to-savvato-5-12-2020,2020-12-06
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-to-diastima-04-06-12-2020,2020-12-07
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-th-deutera-7-12-2020-202,2020-12-09
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-triti-8-12-2020,2020-12-09
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-tetarti-7-12-2020,2020-12-10
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-pempti-10-12-2020,2020-12-11
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-paraskeuh-11-12-2020,2020-12-12
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-to-savvato-12-12-2020,2020-12-13
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-to-diastima-11-13-12-2020,2020-12-14
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-th-deytera-14-12-2020,2020-12-15
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-triti-15-12-2020,2020-12-16
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-tetarti-16-12-2020,2020-12-17
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-pempti-17-12-2020,2020-12-18
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-paraskeuh-18-12-2020,2020-12-19
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-to-savvato-19-12-2020,2020-12-20
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-to-diastima-18-20-12-2020,2020-12-21
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-th-deutera-21-12-2020,2020-12-22
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-triti-22-12-2020,2020-12-23
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-tetarti-23-12-2020,2020-12-24
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-pempti-24-12-2020,2020-12-25
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-thn-paraskeuh-25-12-2020,2020-12-26
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-to-savvato-26-12-2020,2020-12-27
National Transparency Agency,https://aead.gr/press/press-releases/apotimhsh-elegxwn-covid-19-gia-to-diastima-24-27-12-2020,2020-12-28
National Transparency Agency,https://aead.gr/press/press-releases/%CE%B1%CF%80%CE%BF%CF%84%CE%AF%CE%BC%CE%B7%CF%83%CE%B7-%CE%B5%CE%BB%CE%AD%CE%B3%CF%87%CF%89%CE%BD-covid-19-%CE%B3%CE%B9%CE%B1-%CF%84%CE%B7-%CE%B4%CE%B5%CF%85%CF%84%CE%AD%CF%81%CE%B1-28-12-2020,2020-12-29
